"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACADM",4801.88697164005,-0.100303219334786,0.0804940210395279,-1.24609527564203,0.212729419065676,0.809002553998209
"ACADS",489.417682643126,-0.15700139787887,0.0916902126068945,-1.71230269202216,0.0868409008413814,0.68796665478924
"ACADSB",1603.26646963671,-0.195444796020945,0.127925997142781,-1.52779575994084,0.126563255341449,0.750458019532073
"ACADVL",15782.3361386937,0.0813562699370437,0.0779990712117117,1.04304152181786,0.296929062568313,0.854101242993306
"ACAN",1841.00004603061,0.0616707097797216,0.174158654886425,0.354106488821582,0.723259079380519,0.954025987529848
"ACAP1",442.222391265331,0.248670705218457,0.191675988887388,1.29734927500259,0.194511037248402,0.795582265391675
"ACAP2",4399.931945648,-0.00997592957547272,0.0511870685489515,-0.194891597785727,0.845477812067286,0.973490797061948
"ACAP3",863.553948967688,-0.042160481618378,0.0901876993311538,-0.467474854454065,0.6401601785123,0.941184871003357
"ACAT1",2073.07631757369,0.0241419259746878,0.114203970076724,0.211393053660647,0.832580576652601,0.971281852240938
"ACAT2",987.784176105023,-0.0979180050533127,0.0950819365698793,-1.02982762642144,0.303090929662739,0.855255596157591
"ACBD3",2802.94536130335,-0.0513533081526577,0.0496024512486489,-1.03529778992639,0.30052986165012,0.854512789821079
"ACBD4",458.382053041899,0.0872409487505936,0.0824712365359497,1.05783485752108,0.290130738072095,0.854101242993306
"ACBD5",8024.68466648041,-0.0650825033053365,0.0777471175343406,-0.837105031920828,0.40253353221141,0.885181870132585
"ACBD6",2114.71430782346,0.01390870018378,0.0587370677082209,0.236795957416059,0.812815087894121,0.967944506171443
"ACCS",396.100486602592,0.29054812681236,0.0989598430322828,2.93602048982209,0.00332452362335994,0.357251511526463
"ACD",252.061985095616,-0.0664999396389927,0.0712508842685434,-0.933320902914771,0.350654305772473,0.866049563829303
"ACE",1796.39663672645,0.0496753416691028,0.115490608908074,0.430124510891117,0.667105071006733,0.944313603519306
"ACE2",135.490542887739,-0.48087702543957,0.254439692093308,-1.88994500615581,NA,NA
"ACER2",2119.18837945211,0.148290765344697,0.233311495434464,0.635591337103027,0.525042817299542,0.916870242981884
"ACER3",608.976528700081,0.0742243796000648,0.074391722509668,0.997750517074242,0.318400350302391,0.857213080333687
"ACHE",33.5576733159119,0.521897173488615,0.223163329659669,2.33863320772514,NA,NA
"ACIN1",12018.274426123,0.0368198396017872,0.0503849828299725,0.730770113111643,0.464919581591634,0.897234962823022
"ACKR1",273.867751247724,0.045824452314643,0.225253153835136,0.203435341678644,0.838794778646572,0.972648198640121
"ACKR2",499.747587534891,-0.325962139828567,0.277650260981285,-1.17400264158419,0.240393967554478,0.833445161277906
"ACKR3",1222.74212162784,0.0825937749377803,0.169550433532774,0.48713396490263,0.626163398138205,0.938059289801984
"ACKR4",33.0059449106857,-0.197094656241287,0.205983866756187,-0.956845112897013,0.338645438202569,0.864654977791126
"ACLY",8287.86885187332,-0.0625910648418912,0.0601554325537986,-1.04048898303431,0.298112779837706,0.854101242993306
"ACN9",211.260125572746,-0.14551667327024,0.0915011630356402,-1.59032594168841,0.111761354075999,0.728441207838404
"ACO1",1846.09658905504,-0.0678564364637414,0.0780294791594299,-0.86962564911009,0.384505016112067,0.877170324101936
"ACO2",4484.19226849116,0.00724777594122304,0.0672882510565588,0.107712354347432,0.91422386918147,0.986243457023984
"ACOT1",137.967869313977,-0.091328341310011,0.12705541989197,-0.718807126745666,0.47225976594463,0.899081110852547
"ACOT11",636.840095624624,-0.0205919814726515,0.12463813463905,-0.165214133958965,0.868775440849544,0.978818688812068
"ACOT13",333.169971281971,0.0711851580394463,0.0862625718839386,0.825214881550504,0.409249606137993,0.885181870132585
"ACOT2",463.112310450181,0.0454453378999811,0.085237126576014,0.533163654448783,0.593920298598189,0.935375993604565
"ACOT4",127.001403954262,-0.187758828234958,0.135864683090527,-1.38195463283019,0.166985631411273,0.781562690264181
"ACOT7",839.256625171883,-0.145988437098917,0.119170706290107,-1.22503626640868,0.220561556488909,0.816529561079984
"ACOT8",103.62531327157,0.0340984020767575,0.0786263180565976,0.433676699094728,0.664523229356111,0.943559759840196
"ACOT9",1252.16097305007,0.0327169197872803,0.086390164833734,0.378711162899701,0.704902362983399,0.950474474164188
"ACOX1",18788.1347496278,-0.0730864015709112,0.139895895732056,-0.522434208583891,0.601368043155714,0.935642410379774
"ACOX2",119.176523075797,0.0961066025418341,0.178573115569136,0.538191889834759,0.59044457855904,0.934435089926641
"ACOX3",1767.57814432359,-0.0767101168751733,0.10034312063147,-0.764478086713154,0.444582390495543,0.893086637048464
"ACOXL",1699.57717353394,0.140828570532927,0.247885250148795,0.568120008949277,0.569953482128897,0.928743870878891
"ACP1",1267.87627049007,-0.055113264407413,0.0608273792374208,-0.906060150845813,0.364904015766059,0.867381020036632
"ACP2",355.546617924893,-0.126850539141244,0.0677849877463585,-1.87136626203874,0.0612943318852285,0.631282591882312
"ACP5",1249.99778015627,-0.30693833206534,0.138171194946304,-2.22143502619792,0.0263215108797044,0.538814513138047
"ACP6",862.968979542198,-0.041797336160226,0.123921891405975,-0.33728775187344,0.735899991906678,0.956599076681715
"ACPP",567.04069418015,0.466818991216859,0.190224231367776,2.45404587975083,NA,NA
"ACRBP",151.174634060372,-0.0355014250615936,0.119444752216511,-0.297220467226908,0.766298196958886,0.96149070395387
"ACRC",734.967810598467,0.14815432980165,0.108696792817922,1.36300553089752,0.172880767502551,0.781562690264181
"ACRV1",15.7999444136858,-0.615612897753855,0.380783784371555,-1.61669935280953,0.105943193698984,0.722478629358494
"ACSBG1",115.809468124267,-0.141085985246314,0.315082682468667,-0.447774483005247,0.654315960831033,0.942332475206376
"ACSF2",2413.08271424189,-0.0944581271325792,0.143289416139181,-0.659212171266228,0.50975953220184,0.913292394913155
"ACSF3",1763.48686594582,0.0620264179825755,0.0668761042888388,0.927482523723012,0.353676061427284,0.866742883486336
"ACSL1",3648.91303482382,-0.0900934839187647,0.11475569948811,-0.785089405760621,0.432401150798152,0.888810951050805
"ACSL3",3861.97737513332,-0.0772007801657569,0.0771249434596102,-1.00098329674869,0.316834883764319,0.856962923705397
"ACSL4",3558.52729164224,-0.0551000253411514,0.108430542900379,-0.50815963719535,0.611341394616433,0.937052491500537
"ACSL5",6310.86519983235,0.0345269050178907,0.161269285156569,0.214094735921786,0.830473180755509,0.971022310449611
"ACSL6",42.8998515200764,0.215943694339224,0.202397412721994,1.06692912441443,0.286003842088402,0.853329041539502
"ACSM2A",35.8672974157877,-0.252364614678115,0.866450137260884,-0.291262709561011,NA,NA
"ACSM3",723.046823766062,-0.0355060435860733,0.203776399772899,-0.174240214399918,0.861676682366351,0.976405378598368
"ACSS1",522.729444486691,0.00918878286293789,0.122425645597144,0.0750560294627701,0.940170132500893,0.991752896530772
"ACSS2",1262.00129639345,-0.0123079625640845,0.0731135518001325,-0.168340372763318,0.86631551416279,0.977687697756617
"ACSS3",677.62515953771,0.140981240258927,0.165013388302626,0.854362435127834,0.392904203042448,0.883090509495067
"ACTA2",23155.3273075798,0.394927443150163,0.166284739473154,2.37500713776517,0.0175486108378615,0.457145743065163
"ACTB",330177.691533253,-0.0478464474736273,0.0803453561277146,-0.595509806410866,0.551502746050312,0.928335123960686
"ACTC1",1239.61088936519,1.28995234342955,0.364954270247454,3.53455884364609,NA,NA
"ACTG1",146816.313201167,-0.0123676878219762,0.055289877303188,-0.223688103957197,0.823000003085179,0.969816429379723
"ACTG2",4336.96439806756,0.938729635907719,0.257082206466951,3.65147650165511,0.000260736959216756,0.131781350030571
"ACTL6A",2875.41629992978,-0.109445934850964,0.0756589949278634,-1.44656871209186,0.148017754467839,0.764125981112908
"ACTN1",9107.92612979704,0.255677040699365,0.116985179714325,2.18555069388893,0.0288484932726402,0.543297929617015
"ACTN4",52815.7712659446,0.0741502240938185,0.0820494597215692,0.903725927573974,0.366140747361851,0.867381020036632
"ACTR10",1811.68533868121,0.032610752078976,0.0569392372451709,0.57272899421816,0.566828202651959,0.928530455240019
"ACTR1A",2311.33657457797,-0.0641319006714253,0.0490912226565593,-1.30638222478365,0.191422607551736,0.79494031127168
"ACTR1B",1385.65094096841,-0.0921128136948025,0.0594806000679938,-1.54861944212913,0.12147322942412,0.740763129126231
"ACTR2",10670.6298944332,0.00500565775962702,0.0497374905328307,0.100641542345665,0.919835018081313,0.987122636394201
"ACTR3",11162.1343824765,0.0331344775960899,0.0565508080025751,0.58592403480037,0.557926564979974,0.928335123960686
"ACTR8",893.312140675697,0.00894696774851215,0.0526565685345894,0.169911712773973,0.865079569602931,0.97755121045256
"ACVR1",2447.0995453507,0.0287988284748007,0.0750862572769057,0.383543267692721,0.701316995457919,0.948736022308654
"ACVR2A",1399.67447316188,0.01207608510678,0.0854295629783796,0.141357215064253,0.887587752241015,0.981683242282852
"ACVRL1",788.272611749417,0.203988963128919,0.110819341444688,1.84073430205983,0.065660504576737,0.642229191136793
"ADAM10",28241.2538454907,0.0109436563183113,0.100725835215186,0.108647958043055,0.913481720855872,0.986243457023984
"ADAM12",3595.36263776253,0.107613086891811,0.198372125719546,0.542480887884174,0.587487270104276,0.934413707955503
"ADAM15",2610.07078813673,-0.117549257442571,0.103204190977978,-1.13899693732064,0.254704431614292,0.839661271001282
"ADAM17",4357.69893755695,-0.0767560158861118,0.0801808685938044,-0.95728591161761,NA,NA
"ADAM19",1807.08584307496,0.321244870271362,0.160837825919533,1.99732164019725,0.0457902540234259,0.5835322115293
"ADAM1A",433.517526382001,-0.139911928791189,0.113208149920611,-1.23588212411655,0.21650238258819,0.813238992130981
"ADAM22",909.919700188346,-0.059499530569835,0.174411780292104,-0.341143989644424,0.732995186411121,0.956260354570987
"ADAM23",674.154311184701,0.417335272863222,0.194785373158212,2.1425390731174,0.0321501279645057,0.553215593653297
"ADAM28",1372.45073275913,0.0658775365569853,0.149386821696485,0.440986265112669,0.65922294040572,0.942332475206376
"ADAM32",152.289656028651,0.222536531482734,0.139920969693338,1.59044446283114,0.111734654772824,0.728441207838404
"ADAM8",481.471251011753,0.0662747230109356,0.125689288073077,0.527290145620069,0.597992116435105,0.935375993604565
"ADAM9",37253.8860187181,0.168623736030909,0.107487381747494,1.56877703493639,0.11669990130038,0.732533122203994
"ADAMDEC1",518.080708924097,-0.529865153766126,0.222678586921976,-2.37950653940419,0.017335835420603,0.457145743065163
